ID,Time,Air,Tricks,Speed,Points
Ramp0,21.0756931304932,131,2,48,44
Ramp0,25.8956928253174,46,0,44,30
Ramp0,61.4756927490234,68,2,63,48
Ramp0,72.7356948852539,77,1,85,40
Ramp0,87.6156921386719,127,3,61,50
Ramp1,104.875694274902,183,2,52,40
Ramp1,109.25569152832,115,1,45,40
Speed0,34.3756942749023,0,0,60,20
Speed0,54.275691986084,0,0,63,20
Speed0,67.215690612793,0,0,87,20
Speed0,70.2356948852539,0,0,91,20
Speed0,93.3756942749023,0,0,82,20
Speed1,81.8956909179688,87,0,26,20
Speed1,97.8956909179688,171,2,174,24
Speed1,116.49568939209,269,3,67,40
Spike0,32.0356941223145,48,1,54,40
Spike0,36.895694732666,62,1,90,25
Spike0,52.2356948852539,67,1,52,27
Spike0,57.0956916809082,61,1,85,40
Spike0,120.795692443848,59,1,78,25
Wall0,12.7956943511963,0,0,54,25
Wall0,15.6756935119629,1,0,55,25
Wall0,43.0156936645508,2,0,57,25
