ID,Points,numTotal,Preference,avgAir,avgTricks,avgSpeed,avgPoints,StdDevAir,StdDevTricks,StdDevSpeed,StdDevPoints
Ramp0,119,2,6,85.5,2,62.5,59.5,9.5,0,0.5,13.5
Ramp1,60,1,22,103,2,40,60,0,0,0,0
Ramp2,96,3,34,136,4,44.6666679382324,32,57.8287696838379,3.05505037307739,6.64997959136963,13.3166561126709
Speed0,156,6,46,87,1.5,67.1666717529297,26,97.1414413452148,2.2082896232605,3.05768990516663,3.2765486240387
Speed1,0,1,11,0,0,0,0,0,0,0,0
Speed2,0,0,15,0,0,0,0,0,0,0,0
Spike0,60,3,5,55.6666679382324,0,35.6666679382324,20,9.46337985992432,0,18.961950302124,4.18330001831055
Spike1,120,2,31,81,0.5,49,60,16,0.5,22,30
Spike2,60,1,28,60,0,73,60,0,0,0,0
Wall0,161,6,41,76,1,35,32.2000007629395,33.120906829834,0.899536192417145,9.76161956787109,4.58304834365845
Wall1,200,5,34,13.25,0,77.75,50,7.04403495788574,0,1.49715054035187,0
Wall2,0,1,21,76,0,66,0,0,0,0,0
