ID,Time,Air,Tricks,Speed,Points
Ramp0,27.4411964416504,51,0,53,30
Ramp0,40.8211975097656,170,1,2,30
Ramp0,49.6611938476563,82,0,34,30
Ramp0,54.3811950683594,68,0,66,30
Ramp0,59.301197052002,128,1,66,38
Ramp0,68.7011947631836,242,0,17,30
Ramp0,76.1411972045898,52,0,77,0
Ramp0,114.861190795898,73,0,51,30
Ramp0,252.401184082031,38,0,5,0
Ramp0,309.481201171875,44,0,19,0
Ramp0,388.261199951172,50,0,49,10
Ramp0,570.201171875,175,0,22,60
Ramp1,231.161193847656,125,0,57,40
Ramp1,240.921188354492,169,1,55,24
Ramp1,359.72119140625,152,0,46,30
Ramp1,386.341186523438,151,1,41,40
Ramp1,451.241180419922,236,0,26,30
Ramp2,136.941192626953,149,1,21,0
Ramp2,184.481185913086,180,2,30,58
Speed0,50.8611946105957,0,0,55,20
Speed0,189.621185302734,0,0,86,20
Speed1,249.961196899414,212,0,14,20
Speed1,342.541198730469,211,0,86,0
Speed1,544.181213378906,155,1,9,28
Speed2,110.661193847656,259,0,9,40
Speed2,157.701187133789,185,0,139,20
Speed2,322.641174316406,342,1,46,40
Speed2,352.72119140625,167,0,33,20
Spike0,144.521194458008,66,0,87,15
Spike0,191.921188354492,59,0,95,30
Spike0,224.72119140625,122,0,31,0
Spike0,283.341186523438,71,0,71,15
Spike0,454.521179199219,57,0,12,15
Spike1,141.621200561523,54,0,71,35
Spike1,463.161193847656,203,1,14,70
Spike2,80.5611953735352,70,0,46,0
Spike2,365.001190185547,60,0,61,30
Spike2,370.001190185547,144,0,25,15
Wall0,29.6611957550049,0,0,53,25
Wall0,55.1811943054199,3,0,69,25
Wall0,103.041191101074,0,0,44,25
Wall0,120.22119140625,0,0,63,25
Wall0,413.341186523438,79,0,79,25
Wall1,83.2411956787109,4,0,46,50
Wall1,335.661193847656,3,0,63,25
Wall1,360.801177978516,0,0,59,50
Wall1,392.701202392578,13,0,70,50
Wall1,452.341186523438,0,0,36,50
Wall2,441.421173095703,314,0,109,95
Wall2,489.181182861328,246,0,4,120
